ID,Title,Preconditions,Steps,Test Data,Expected result,Actual Result,Status
TC1-R1,email with correct structure+ contact name+ 500 char msg,"Contact me page with a form of 2 textboxes for name and email, 1 area for msg and a submit button","1-input correct email
2-write a contact name
3-write a message between 1 and 500 characters","email
name
msg",A confirmation message,,
TC2-R2,email with correct structure+ contact name but no msg,"Contact me page with a form of 2 textboxes for name and email, 1 area for msg and a submit button","1-input correct email
2-write a contact name
3-leave message empty or write only space "" ""","email
name
",An error msg or invalid submit button,,
TC3-R3,email with correct structure+ contact name but msg > 500,"Contact me page with a form of 2 textboxes for name and email, 1 area for msg and a submit button","1-input correct email
2-write a contact name
3-write a message of 501 characters","email
name
",An error msg or invalid submit button,,
TC4-R4,email with correct structure+ NO contact name+ 500 char msg,"Contact me page with a form of 2 textboxes for name and email, 1 area for msg and a submit button","1-input correct email
2-leave contact name empty or write only space "" ""
3-write a message between 1 and 500 characters",email,An error msg or invalid submit button,,
TC5-R5,"NO email + contact name+ 500 char msg
","Contact me page with a form of 2 textboxes for name and email, 1 area for msg and a submit button","1-leave email field empty or write only space "" ""
2-write a contact name
3-write a message between 1 and 500 characters",name,An error msg or invalid submit button,,
TC6-R6,email with INcorrect structure+ contact name+ 500 char msg,"Contact me page with a form of 2 textboxes for name and email, 1 area for msg and a submit button","1-input email: name, @domain.xyz, name.xyz, name@domain
2-write a contact name
3-write a message between 1 and 500 characters","name
email",An error msg or invalid submit button,,
