ID,Title,Preconditions,Steps,Test Data,Expected result,Actual Result,Status,,,,,
TC1-R1,"Click add to cart while not logging in
with no previous account on the device for this session",Fresh open app with no previous log in account,"1-If app is opened, kill it then reopen, otherwise, just open the app.
2-Choose item, try to add it to cart without logging in.",item id,System blocks action and shows error message,,Invalid,Traceability table:,,,,
TC2-R1,Logged out user trying to add to cart,log out from user account,"1-log in from an account
2-log out
3-add an item to cart","account username and password
item id",System blocks action and shows error message,,Invalid,,R1,R2,R3,R4
TC3-R2,Log in add 0 item from an account,account logged,"1-click: add an item to cart, quantity = 0 (if applicable)","account username and password
item id",System blocks action and shows error message,,Invalid,Conditions:,,,,
TC4-R2,Log in add -ve quantity of an item from an acount,account logged,"Click add an item to cart, quantity = -1 (if applicable)","account username and password
item id",System blocks action and shows error message,,Invalid,logged,F,T,T,T
TC5-R3,Log in add OverStock quantity of an item from an acount,account logged in ,"Click add an item to cart, quantity = overStock number","account username and password
item id
stock quantity",System blocks action and shows error message,,Invalid,item >=1,don't care,F,T,T
TC6-R4,Log in add in-stock quantity of an item from an account,account logged in ,"Click add an item to cart, quantity = in-stock number","account username and password
item id
stock quantity","A message is displayed to the user to inform him the product is added to his cart.  
There is a link in the notification message to redirect the user to his cart.",,Valid,Item in stock,don't care,don't care,F,T
